# m_005 fixes: WORD_HYPHEN<tab>CONTINUATION<tab>RESULT
# Edit RESULT to keep hyphen, e.g.: self-<tab>pity<tab>self-pity
Platts-	burg	Plattsburg
sub-	lime	sublime
Cathe-	dral.	Cathedral.
appre-	ciation?	appreciation?
impor-	tant.	important.
Po-	tential	Potential
lead-	ers	leaders
de-	cided	decided
finan-	cial	financial
ex-	pense	expense
thou-	sand	thousand
ap-	plause	applause
mil-	lions.	millions.
seeth-	ing	seething
con-	tinuing	continuing
remon-	strances	remonstrances
dis-	gusted	disgusted
depart-	ment	department
break-	fast.	breakfast.
busi-	ness.	business.
ap-	palling	appalling
cock-	sureness.	cocksureness.
tele-	phone.	telephone.
my-	self	myself
diz-	zily	dizzily
na-	tionally-known	nationally-known
bella-	donna	belladonna
com-	bating	combating
Understand-	ing	Understanding
cur-	tain,	curtain,
insidi-	ous	insidious
some-	where,	somewhere,
re-	member	remember
commit-	ted	committed
es-	caped.	escaped.
wel-	fare,	welfare,
air-	plane	airplane
alco-	holic	alcoholic
Cer-	tainly	Certainly
be-	fore	before
preach-	er’s	preacher’s
my-	self.	myself.
orig-	inated	originated
Brother-	hood	Brotherhood
point-	blank	pointblank
reli-	gious	religious
impos-	sible.	impossible.
re-	mained	remained
per-	sonal	personal
intel-	lectual	intellectual
Cathe-	dral	Cathedral
willing-	ness	willingness
noth-	ing;	nothing;
resent-	ment.	resentment.
God-conscious-	ness	God-consciousness
un-	common	uncommon
useful-	ness	usefulness
elec-	tric.	electric.
Par-	ticularly	Particularly
enthus-	iasm	enthusiasm
busi-	ness	business
self-	pity	self-pity
hos-	pital	hospital
fel-	lowship	fellowship
won-	derful	wonderful
fre-	quently	frequently
num-	bers	numbers
reli-	gious	religious
inde-	scribably	indescribably
in-	dividual	individual
com-	mon	common
anni-	hilation	annihilation
misun-	derstanding,	misunderstanding,
solu-	tion,	solution,
al-	coholic	alcoholic
what-	ever	whatever
condi-	tions	conditions
ap-	proach	approach
oppor-	tunity	opportunity
vol-	ume	volume
knowl-	edge.	knowledge.
any-	one	anyone
na-	ture,	nature,
ques-	tions	questions
drink-	ers	drinkers
rea-	son—ill	reason—ill
med-	ical	medical
espe-	cially	especially
incredi-	ble,	incredible,
disposi-	tion	disposition
per-	fectly	perfectly
every-	thing	everything
abili-	ties,	abilities,
be-	gins	begins
hos-	pitals	hospitals
ex-	periences	experiences
an-	other	another
some-	times	sometimes
point-	less	pointless
irri-	tated	irritated
ab-	normal,	abnormal,
alco-	holic,	alcoholic,
power-	ful	powerful
ob-	scure,	obscure,
so-	called	so-called
con-	sciousness	consciousness
suf-	fering	suffering
alco-	holics	alcoholics
self-	searching,	self-searching,
suc-	cessful	successful
cer-	tainty	certainty
alterna-	tives:	alternatives:
will-	ing	willing
ex-	planation	explanation
main-	tain	maintain
ap-	pear	appear
displace-	ments	displacements
em-	ployed	employed
success-	ful	successful
re-	lieved,	relieved,
experi-	ence,	experience,
dis-	covered	discovered
ac-	quired.	acquired.
reli-	gious	religious
explana-	tion	explanation
clear-	cut	clearcut
disclos-	ing	disclosing
in-	nermost	innermost
inter-	vals—usually	intervals—usually
incompre-	hensible	incomprehensible
progres-	sive	progressive
imagina-	ble	imaginable
right-	about-face	rightabout-face
Drink-	ing	Drinking
drink-	ing	drinking
alco-	holic,	alcoholic,
de-	cide,	decide,
knowl-	edge	knowledge
overpow-	ering	overpowering
excep-	tional	exceptional
suc-	cessful	successful
vic-	tim	victim
al-	ways	always
ex-	perience	experience
al-	ready	already
help-	less	helpless
con-	siderable	considerable
de-	pends	depends
medi-	*	medi*
sur-	vey	survey
ob-	viously	obviously
Every-	body	Everybody
con-	tact	contact
drink-	ing.	drinking.
him-	self	himself
review-	ing	reviewing
charac-	teristic	characteristic
our-	selves,	ourselves,
deliber-	ately	deliberately
warn-	ings.	warnings.
succes-	sion.	succession.
hos-	pital	hospital
accom-	panied	accompanied
jay-	walking	jaywalking
intelli-	gent	intelligent
alco-	hol	alcohol
informa-	tion.’’	information.’’
re-	vealed	revealed
col-	lege	college
ac-	quired,	acquired,
Self-	knowledge	Self-knowledge
exhib-	ited	exhibited
or-	dered	ordered
evi-	dence	evidence
condi-	tion.	condition.
pro-	gram	program
re-	lieved,	relieved,
satis-	fying	satisfying
con-	clusions.	conclusions.
world-	renowned	worldrenowned
hopeless-	ness	hopelessness
of-	fered	offered
Ex-	cept	Except
experi-	ence	experience
alcoho-	lic	alcoholic
sub-	ject	subject
re-	jected	rejected
inexpli-	cable	inexplicable
reas-	sure	reassure
com-	menced	commenced
under-	lying	underlying
how-	ever	however
ac-	cept	accept
re-	spect	respect
preju-	diced	prejudiced
reason-	able	reasonable
assump-	tions	assumptions
con-	stantly	constantly
